variant,ndcg,map,precision,pairwise_accuracy
All features,0.531445620547416,0.3561935204762586,0.26271235521235525,0.6235716790325428
No lexical,0.5135248261955193,0.3305724329771949,0.25595559845559845,0.5968147919347929
No target,0.49042159855551065,0.31388369747298317,0.2416312741312741,0.6046090469445697
No semantic,0.5080922388387096,0.33779718068408543,0.25352316602316605,0.6128963990572199
No mlm,0.4688022460840624,0.28475197646626216,0.23055019305019306,0.5891551887108173
No substitute,0.5089316282566071,0.33067439463272796,0.2524420849420849,0.6067689869984568
No rerank,0.5414113522843896,0.3651562340401626,0.27352316602316606,0.6390401630139284
